,id,user_id,name,screen_name,description,text,mentions,created_at
0,588853708827406337,521419379,Detempo 디템포,DDOLE9,"Rapper, Songwriter / 성남FM 90.7 Radio DJ / 뮤지션크루 Plymus 작곡가 / 20201102 Single - 그래 가끔은 우울해도 돼","RT @hiphopplaya: [VIDEO] 

아날로그 소년 – 다시 4월, 아픈 세월 (뉴스타파, '설파')

http://t.co/m6cJ5DLmAm","[{'screen_name': 'hiphopplaya', 'name': 'HIPHOPPLAYA | 힙합플레이야', 'id': 41022102, 'id_str': '41022102', 'indices': [3, 15]}]",2015-04-16 23:57:19
1,588853564316864512,1040054539,분노한다 떡검개판,candy4419731,민주화가 반갑지만 아직도 목마른,"@sunmin33 @daygo2345 @yzzung9588 @andls2012 그러게요,천정배에서 정동영까지 욕하다 세월다 갑니다!","[{'screen_name': 'sunmin33', 'name': '바람개비', 'id': 115935335, 'id_str': '115935335', 'indices': [0, 9]}, {'screen_name': 'yzzung9588', 'name': 'zyz솔개', 'id': 433478387, 'id_str': '433478387', 'indices': [21, 32]}, {'screen_name': 'andls2012', 'name': '각시탈', 'id': 254431089, 'id_str': '254431089', 'indices': [33, 43]}]",2015-04-16 23:56:44
2,588853507643478017,1685854752,2기나온타 타이바니 / 초륜,ch_TandB,Choruyn/TIGER&BUNNY/TB올캐러(네이유리♡)/지뢰따위없음/올라운더/코스어/코코♡/제노스♡/맞팔은멘션!/*성인분만 팔로함*/헤더=백곰님,RT @hyonibee: 아서누피. 킹스누피맨의 헤드로 현재는 베이비시터 현장직에서 물러나 수장자리에 앉아 킹스누피들을 소집하고 임무를 맡깁니다. 세월을 증명하듯 털의 윤기는 많이 죽었지만 여전히 부인들에게 사랑받는 킹스누피맨이랍니다. http://…,"[{'screen_name': 'hyonibee', 'name': '햄돌이🏎🎾💰', 'id': 1070019044, 'id_str': '1070019044', 'indices': [3, 12]}]",2015-04-16 23:56:31
3,588851702578614273,2208367933,돌두건 #문파 #서초문파촛불집회_지지 #공수처설치 #조국수호 #己亥倭亂,DolDooGeon,"#문프님만_닥치고_지지 - 이낙연 김진표 홍영표 이정렬 조국 김종민 지지 - #댓글_방어 - #권리당원 - #서초문파촛불집회_지지 - 일베 친일파 신천지 수꼴 좌꼴 찴 찢 털 홍합 찬 최빠 개국본 차단. #체인블락 은 #신중하게_갑자기_날벼락
조국수호
검찰해체
문재인최고","RT @newstapa: 세월호 1주기에 맞춰 제작한 뉴스타파 설파입니다.
&lt;설파(說破) – 다시 4월, 아픈 세월&gt;
http://t.co/hXo25Nvn7h
설파는 MP3 음원도 자유롭게 배포할 수 있습니다.
다운로드 링크 : http://t.co…","[{'screen_name': 'newstapa', 'name': '뉴스타파(Newstapa)-KCIJ', 'id': 455462137, 'id_str': '455462137', 'indices': [3, 12]}]",2015-04-16 23:49:20
4,588850891790266368,1458980472,진달래Band,azaleaband,,자동트윗입니다 십알티부탁드려요 다만 현실의 벽을 #신화 넘어 #표적 영겁의 세월로 이어지길 바래,[],2015-04-16 23:46:07
5,588850463895760896,410711270,백미르,mir6792,전교조 종북 좌빨이 없는 세상을 꿈꾸며  종북 좌빨 절대사절,"http://t.co/kdFtCMn161
세월당의 폭력성이 이제 공권력에 마저!",[],2015-04-16 23:44:25
6,588849814823141376,45513742,Together,appa33,,"[뉴스타파] 세월호 참사 1주기 특집 &lt;참혹한 세월, 국가의 거짓말&gt; http://t.co/dZ6C9nIbAj",[],2015-04-16 23:41:50
7,588849327524564992,1579024632,구라펭귄,GuraP32,Gura Penguin,@BARcusDONAld 세월 참 ㅠㅠ,"[{'screen_name': 'BARcusDONAld', 'name': 'BAsensei', 'id': 915260037148295168, 'id_str': '915260037148295168', 'indices': [0, 13]}]",2015-04-16 23:39:54
8,588848457143582720,201504925,나사랑,plme111,안녕하세요 지구별의 어린왕자 나사랑 입니다 ^^,"RT @eunmi999: 교만한 사람의 눈은
탐욕으로 가득차 있고

겸허한 사람의 눈은
순수한 빛을 띠고 있죠

현명한 사람은 
멀리 내다보고
꾸준히 자기 앞가림을 하지만
교만한 사람은
당장 눈에 보이는 것만 쫓다
세월 다 보냅답니다. http://…","[{'screen_name': 'eunmi999', 'name': '고은미', 'id': 147133038, 'id_str': '147133038', 'indices': [3, 12]}]",2015-04-16 23:36:27
9,588847967903158272,867257995,메가트론,TFP_Megatron,"트랜스포머 프라임 (엑소더스 13장 이후, 엑자일 포함) 기반 메가트론 비공식봇 / if 세계관 / 자동맞팔 / 캐릭터 붕괴 주의",넌 오토봇들에게 포로로 잡혀 꽤 오랜세월동안 휴면상태로 있었다. 그 사이에 우리는 다른 행성으로 탈출해 왔지.,[],2015-04-16 23:34:30
10,588847837196062720,354760380,쿼츠봇_VICHE,658_kor,에세이와 소설 구절들을 골라 인용합니다. 트윗 희망 도서나 책속 구절이 궁금한 도서에 대해서는 멘션으로 알려주세요! 운영:비채 편집부 @vichebook,"얼마나 대단한 전율이고 충동인가. 이런 6월 아침에 이렇게 살아있다니, 그것도 간단한 일거리 하나만 달랑 주어졌으니 부끄러워할 만한 특권이 아닌가. _ 마이클 커닝햄 &lt;세월&gt; http://t.co/7YiMQCQ6sY",[],2015-04-16 23:33:59
11,588846468330455040,266291874,심비바바,shimbebaba,Filmmaker/ animator/ part time puppeteer,"""You will never be forgotten"" #sewol #세월 http://t.co/nmPFW0ov6Q",[],2015-04-16 23:28:32
